	ArticleNo	RawParagraph	Prediction
1422	4.0	"Διοικητικό Προσωπικό
Το διοικητικό προσωπικό αποτελείται από το στρατιωτικό και πολιτικό προσωπικό που είναι τοποθετημένο 
στη σχολή."	Irrelevant
1423	5.0	"Διδακτικό Προσωπικό
2. Ως προς την τάξη και πειθαρχία, το πολιτικό προσωπικό της σχολής διέπεται από τις εκάστοτε ισχύουσες 
για το πολιτικό προσωπικό του Υπουργείου Εθνικής 
Άμυνας διατάξεις."	Irrelevant
1424	5.0	"3. Τοποθετείται στο επιτελείο (διευθύνσεις, γραφεία) 
και στο Λόχο Διοικήσεως, ανάλογα με την ειδικότητά 
του και εκτελεί την υπηρεσία του σύμφωνα με τις ισχύουσες διατάξεις."	Org
1425	6.0	"Σπουδαστικό Συμβούλιο
Σύνθεση Διδακτικού Προσωπικού
1. Αξιωματικοί εν ενεργεία που υπηρετούν στη ΣΜΥ."	Org
1426	6.0	2. Ωρομίσθιο.	Org
1427	6.0	α. Αξιωματικοί εν ενεργεία άλλων μονάδων.	Org
1428	6.0	β. Ιδιώτες.	Org
1429	6.0	"Σχέσεις Εργασίας
3. Οι εν ενεργεία αξιωματικοί, τοποθετημένοι και μη 
στη σχολή, αμείβονται με ωριαία αποζημίωση, σύμφωνα 
με τις ισχύουσες διατάξεις."	Irrelevant
1430	6.0	"4. Οι ωρομίσθιοι ιδιώτες καθηγητές, προσλαμβάνονται με σύμβαση ιδιωτικού δικαίου, ορισμένου χρόνου 
εργασίας, σύμφωνα με τις ισχύουσες διατάξεις [3, παρ. 1 και 2 ν. 2109/1992 (A΄ 205)]."	Org
1431	6.0	"Διαδικασία Αξιολόγησης – Επιλογής και Διορισμού 
Ωρομίσθιου Διδακτικού Προσωπικού
5. Κάθε έτος και σύμφωνα με το γενικό πρόγραμμα 
εκπαίδευσης της σχολής, δημοσιοποιείται προκήρυξη 
πανελληνίου διαγωνισμού για την πρόσληψη με επιλογή ωρομισθίου διδακτικού προσωπικού για κάλυψη 
συγκεκριμένων μαθημάτων κατά κατηγορία, στην οποία 
καθορίζονται τα προσόντα και τα απαιτούμενα δικαιολογητικά των υποψηφίων, καθώς και άλλες λεπτομέρειες [άρθρο 21, παρ.6, 7, 8, 9 ν. 2190/1994 (Α΄ 28), ν. 1943/1991 (Α΄ 50), όπως αυτό τροποποιήθηκε από το 
άρθρο 10 του ν. 2026/1992 (Α΄ 43), ν. 2683/1999 (Α΄ 19)]."	RespA
1432	6.0	"6. Το σπουδαστικό συμβούλιο της σχολής μετά τον 
έλεγχο των δικαιολογητικών, αξιολογεί τους υποψηφίους, σύμφωνα με τα καθοριζόμενα κριτήρια και συντάσσει πρακτικό με προτάσεις που υποβάλλονται από τη 
σχολή στην ιεραρχία για έγκριση και διορισμό."	Irrelevant
1433	6.0	"Διορισμός
Το ωρομίσθιο διδακτικό προσωπικό, διορίζεται κατόπιν 
σχετικής εισηγήσεως της σχολής όπως παρακάτω:"	RespA
1434	6.0	α. Οι αξιωματικοί εν ενεργεία από το ΓΕΣ.	Org
1435	6.0	"β. Οι ιδιώτες καθηγητές από το Υπουργείο Εθνικής 
Άμυνας (ΥΠΕΘΑ)."	Org
1436	7.0	"Εκπαιδευόμενο Προσωπικό
1. Το εκπαιδευόμενο προσωπικό αποτελείται από τους 
σπουδάζοντες στη σχολή και οι μεν άνδρες ονομάζονται 
σπουδαστές, οι δε γυναίκες σπουδάστριες."	Org
1437	7.0	"2. Όπου στον παρόντα οργανισμό αναφέρεται ο όρος 
σπουδαστής, συμπεριλαμβάνει τους άνδρες και τις γυναίκες που φοιτούν στη σχολή."	RespA
1438	7.0	"3. Στη σχολή επιτρέπεται να φοιτούν και αλλοδαποί 
σπουδαστές σύμφωνα με τις ισχύουσες διατάξεις."	RespA
1439	8.0	"Θέματα Πολιτικού Προσωπικού
1. Το πολιτικό προσωπικό (μόνιμο, σχέση εργασίας 
ιδιωτικού δικαί"	RespA
1440	8.0	ου) προσλαμβάνεται και διορίζεται σύμφωνα με την εκάστοτε ισχύουσα νομοθεσία.	Irrelevant
1441	8.0	"1. Το σπουδαστικό συμβούλιο της σχολής αποτελείται 
από τους:"	Irrelevant
1442	8.0	α. Διευθυντή σπουδών, ως πρόεδρο.	Org
1443	8.0	β. Διοικητή 1ου τάγματος σπουδαστών.	Org
1444	8.0	γ. Διοικητή 2ου τάγματος σπουδαστών.	Org
1445	8.0	δ. Τμηματάρχη ακαδημαϊκής εκπαίδευσης.	Org
1446	8.0	ε. Τμηματάρχη στρατιωτικής εκπαίδευσης.	Org
1447	8.0	στ. Τμηματάρχη τεχνικής εκπαίδευσης.	Org
1448	8.0	ζ. Τμηματάρχη τμήματος προγραμματισμού και ελέγχου εκπαίδευσης (ΤΠΕΕ), ως μέλη.	Org
1449	8.0	η. Βοηθός ΤΠΕΕ ως γραμματέα, χωρίς ψήφο.	Org
1450	8.0	"θ. Σε περίπτωση όπου ο διευθυντής σπουδών είναι 
νεότερος στην αρχαιότητα από τους διοικητές ταγμάτων σπουδαστών, τότε το σπουδαστικό συμβούλιο της 
σχολής αποτελείται από τους αναγραφόμενους στην 
παράγραφο 1α έως η του παρόντος άρθρου ως μέλη 
με επιπλέον τον υποδιοικητή της σχολής ως πρόεδρο."	Org
1451	8.0	"ι. Με απόφαση του διοικητή της σχολής, δύνανται να 
ορίζονται σε ειδικές περιπτώσεις, ως επιπλέον μέλη, 
ένας ή δύο, από τους καθηγητέςστρατιωτικούς εκπαιδευτές της σχολής, όταν προκύπτουν θέματα της 
αρμοδιότητάς τους."	Org
1452	8.0	"ια. Για όλα τα θέματα που θα εισάγονται στο σπουδαστικό συμβούλιο, ορίζεται αντίστοιχος εισηγητής 
θέματος από το διευθυντή σπουδών."	Org
1453	8.0	"2. Τα ως άνω μέλη του σπουδαστικού συμβουλίου, 
ορίζονται από το διοικητή της σχολής, για ένα πλήρες 
ακαδημαϊκό έτος και δύναται να αντικατασταθούν κατά 
τη διάρκεια αυτού, μόνο σε περίπτωση αλλαγής των 
καθηκόντων τους ή μετάθεσής τους."	Org
1454	8.0	"3. Το σπουδαστικό συμβούλιο τελεί σε απαρτία, με 
παρόντα τουλάχιστον 5 από τα μέλη του. Τούτο γνωμοδοτεί κατά πλειοψηφία. Σε περίπτωση ισοψηφίας 
υπερισχύει η ψήφος του προέδρου."	Org
1455	8.0	"4. Συνέρχεται σε τακτική σύνοδο στο τέλος κάθε εκπαιδευτικής περιόδου και έκτακτα όταν παρουσιάζεται 
ανάγκη."	Org
1456	8.0	"5. Τα θέματα της ημερήσιας διάταξης καθορίζονται στη 
διαταγή σύγκλησης του σπουδαστικού συμβουλίου."	Org
1457	8.0	6. ’Έχει τις παρακάτω αρμοδιότητες:	Org
1458	8.0	α. Προτείνει:	Org
1459	8.0	"(1) Τα διδακτέα μαθήματα κατά τάξη, σύμφωνα με τον 
παρόντα οργανισμό, τη διδακτέα ύλη, τον αριθμό περιόδων και τους συντελεστές των μαθημάτων, ανάλογα 
με τον αριθμό των περιόδων εκπαίδευσης."	Irrelevant
1460	8.0	(2) Τα αναγκαία για την εκπαίδευση βιβλία, εκπαιδευτικά φυλλάδια και λοιπά εκπαιδευτικά μέσα.	Irrelevant
1461	8.0	"(3) Τις βασικές αρχές για τη σύνταξη, τροποποίηση ή 
αναθεώρηση του γενικού προγράμματος εκπαίδευσης."	Irrelevant
1462	8.0	"β. Ελέγχει και εισηγείται την έγκριση ή βελτίωση των 
υπό του διδακτικού προσωπικού εκπονουμένων βιβλίων 
ή σημειώσεων."	Org
1463	8.0	"γ. Γνωμοδοτεί επί των αιτήσεων διορισμού ιδιωτών 
καθηγητών και εισηγείται το διορισμό του στρατιωτικού 
εκπαιδευτικού προσωπικού, σύμφωνα με τις ισχύουσες 
διατάξεις."	Org
1464	8.0	δ. Παρακολουθεί την εκπαίδευση γενικά και την πρόοδο των σπουδαστών και υποβάλλει προτάσεις στη διοίκηση της σχολής για τη βελτίωση της εκπαίδευσης.	Org
1465	8.0	"7. Όλες οι πράξεις του σπουδαστικού συμβουλίου πρέπει να είναι πλήρως αιτιολογημένες και σύμφωνες με 
τις ισχύουσες διατάξεις."	Org
1466	8.0	"8. Με το τέλος των εργασιών κάθε συνόδου, υποβάλλει 
πρακτικό με συγκεκριμένες προτάσεις και αιτιολόγηση 
αυτών επί των συζητηθέντων θεμάτων, στο διοικητή 
της σχολής, ο οποίος αποφασίζει για τις περαιτέρω 
ενέργειες έπ’ αυτών."	Org
1467	8.0	"9. Τα πρακτικά του σπουδαστικού συμβουλίου συντάσσονται από το γραμματέα και τηρούνται, σε ιδιαίτερο 
φάκελο έπ’ αόριστο, από τον Τμηματάρχη του τμήματος 
προγραμματισμού και ελέγχου εκπαίδευσης."	Org
1468	9.0	"Διοικητής
1. Ο διοικητής της σχολής είναι Ταξίαρχος και ασκεί 
τη διοίκηση σύμφωνα με τις ισχύουσες διατάξεις."	Org
1469	9.0	2. Ο διοικητής:	Org
1470	9.0	"α. Είναι υπεύθυνος για την εκτέλεση της αποστολής 
της σχολής και την επίτευξη του γενικού σκοπού της 
εκπαίδευσης, όπως αναφέρεται στο άρθρο 101 του παρόντος οργανισμού."	RespA
1471	9.0	"β. Ρυθμίζει την εσωτερική λειτουργία της σχολής 
και τις ώρες υπηρεσίας και εκπαίδευσης των σπουδαστών."	RespA
1472	9.0	"γ. Συγκαλεί το σπουδαστικό και ανακριτικό συμβούλιο 
της σχολής, όταν κρίνει τούτο αναγκαίο και αποφαίνεται επί των προτάσεών τους, σύμφωνα με τα καθοριζόμενα στα οικεία άρθρα του παρόντος."	RespA
1473	9.0	"δ. Ασκεί τον προβλεπόμενο πειθαρχικό έλεγχο στο 
σύνολο του στρατιωτικού και πολιτικού προσωπικού, 
σύμφωνα με τις ισχύουσες διατάξεις."	RespA
1474	9.0	"ε. Ασκεί όλες τις αρμοδιότητες και έχει τα καθήκοντα 
που προβλέπονται στους κανονισμούς και τις ισχύουσες 
διατάξεις."	RespA
1475	9.0	"στ. Αναθέτει τα προβλεπόμενα από τον παρόντα οργανισμό καθήκοντα στα όργανα της σχολής, εκτός αν 
ορίζεται διαφορετικά στις επιμέρους διατάξεις."	RespA
1476	9.0	3. Ο διοικητής όταν απουσιάζει ή κωλύεται αναπληρώνεται από τον υποδιοικητή της σχολής.	Org
1477	10.0	"Υποδιοικητής
1. Ο υποδιοικητής της σχολής είναι Συνταγματάρχης, 
όλων των όπλων, απόφοιτος της Σχολής Εθνικής Άμυνας (ΣΕΘΑ) και είναι ο άμεσος βοηθός του διοικητού, 
ενήμερος για όλα τα θέματα:"	Org
1478	10.0	2. Ο υποδιοικητής έχει ιδίως της εξής αρμοδιότητες:	Org
1479	10.0	"α. Διευθύνει, επιβλέπει και συντονίζει τη λειτουργία 
του επιτελείου."	Irrelevant
1480	10.0	"β. Καθορίζει τις αρμοδιότητες και ευθύνες των διευθύνσεων – γραφείων προς συμπλήρωση των προβλεπομένων από τους κανονισμούς, καθώς και τις σχέσεις 
μεταξύ του επιτελείου και των υφισταμένων μονάδων 
της σχολής."	Irrelevant
1481	10.0	"γ. Κατανέμει το έργο για την προπαρασκευή των 
σχεδίων, αναφορών και επιτελικών ενεργειών, γενικά."	Irrelevant
1482	10.0	"Βεβαιώνεται για την πληρότητα και την εξασφάλιση του 
συντονισμένου έργου, ελέγχει την επιτελική εργασία και 
τη θέτει υπόψη του διοικητού για έγκριση."	RespA
1483	10.0	"δ. Παρακολουθεί, δια των αρμοδίων επιτελών, την 
εκτέλεση των διαταγών του διοικητού."	Org
1484	10.0	"ε. Διατάσσει τη σύνταξη και τήρηση από τους διευθυντές των διευθύνσεων – γραφείων, των επιτελικών 
πινάκων της αρμοδιότητάς τους."	Org
1485	10.0	"στ. Ασκεί όλες τις αρμοδιότητες και έχει τα καθήκοντα που προβλέπονται στους κανονισμούς και τις 
ισχύουσες διαταγές."	Org
1486	10.0	3. Ο υποδιοικητής είναι πρόεδρος:	Org
1487	10.0	"α. Του Πρωτοβάθμιου Ανακριτικού Συμβουλίου της 
σχολής."	Org
1488	10.0	"β. Της Επιτροπής Προκαταρκτικών Εξετάσεων των 
υποψηφίων και είναι υπεύθυνος για την ομαλή διεξαγωγή αυτών."	Org
1489	10.0	"4. Ο υποδιοικητής όταν απουσιάζει ή κωλύεται δεν 
αναπληρώνεται και τα καθήκοντά του ασκούνται προσωρινά από το διοικητή της σχολής."	Org
1490	11.0	"Υπασπιστής
1. Καθήκοντα υπασπιστή του διοικητού της σχολής 
ανατίθενται σε μόνιμο υπαξιωματικό."	Org
1491	11.0	2. Ο υπασπιστής:	Org
1492	11.0	α. Είναι υπηρεσιακό όργανο του διοικητού της σχολής.	Org
1493	11.0	"β. Διεκπεραιώνει τα υπηρεσιακά ζητήματα του διοικητού, όπως αλληλογραφία, υπομνήσεις υπηρεσιακού 
ή εθιμοτυπικού χαρακτήρα και λοιπά συναφή θέματα, 
σύμφωνα με τις οδηγίες αυτού."	Org
1494	11.0	"γ. Θέτει υπόψη του διοικητού τους φακέλους με τα 
προς υπογραφή έγγραφα των διευθύνσεων και των τμημάτων και μεριμνά για την παραλαβή αυτών, μετά την 
υπογραφή των, από τους αρμοδίους."	Org
1495	11.0	"δ. Συνεργάζεται για θέματα εσωτερικής λειτουργίας 
και συντονισμού συνεργάζεται με το γραφείο δημοσίων 
σχέσεων – εθιμοτυπίας."	Org
1496	12.0	"Γραμματεία
Διευθυντής
1. Καθήκοντα διευθυντή γραμματείας ανατίθενται 
σε κατώτερο αξιωματικό του σώματος Στρατιωτικών 
Γραμματέων (ΣΓ)."	Org
1497	12.0	"2. Αποστολή του είναι η εύρυθμη λειτουργία της γραμματείας σε όλα τα θέματα που αφορούν στη διεξαγωγή της στρατιωτικής αλληλογραφίας, σύμφωνα με τις 
ισχύουσες διατάξεις."	Irrelevant
1498	12.0	3. Συνεργάζεται με τις διευθύνσεις, τμήματα και γραφεία για ζητήματα της αρμοδιότητάς του.	Irrelevant
1499	12.0	4. Ευθύνεται για:	Irrelevant
1500	12.0	α. Το χειρισμό και διακίνηση της αλληλογραφίας.	Org
1501	12.0	β. Τη συντήρηση και χειρισμό των φωτοτυπικών μηχανημάτων της γραμματείας.	Org
1502	12.0	5. Τηρεί:	Org
1503	12.0	"α. Το αρχείο σχεδίων εγγράφων, σημάτων, εγκυκλίων 
διαταγών υπουργείου εθνικής άμυνας (ΕΔΥΕΘΑ), νόμων 
– διαταγμάτων αποφάσεων (Ν−Δ−Α) και γενικών διαταγών, καθώς και το βιβλίο ευρετηρίου αρχείου."	Org
1504	12.0	β. Τον αριθμό φακέλων αρχείου.	Org
1505	12.0	γ. Το βιβλίο ευρετηρίου αρχείου παρελθόντων ετών.	Org
1506	12.0	δ. Τους στατιστικούς πίνακες εισερχόμενης – εξερχόμενης αλληλογραφίας.	Org
1507	12.0	"ε. Το αρχείο της σχολής παρελθόντων ετών και ενεργεί σύμφωνα με τις ισχύουσες διατάξεις περί τηρήσεως 
Στρατιωτικών αρχείων."	Org
1508	12.0	"6. Ορίζεται με την ημερήσια διαταγή (ΗΔ) της σχολής, 
ως αξιωματικός ελέγχου του ταχυδρόμου της σχολής."	Irrelevant
1509	12.0	"7. Κατά την ενάσκηση των καθηκόντων του έχει ως 
βοηθούς ένα (1) υπαξιωματικό (ΣΓ) και δύο (2) μόνιμους 
υπαλλήλους, ως διοικητικό γραμματέα και χειριστή φωτοαντιγραφικών μηχανημάτων αντίστοιχα."	Irrelevant
1510	13.0	"Διευθυντής
1. Καθήκοντα διευθυντού ΣΤΓ 932 ανατίθενται σε κατώτερο αξιωματικό του ταχυδρομικού σώματος."	Irrelevant
1511	13.0	"2. Είναι υπεύθυνος για όλα τα θέματα αρμοδιότητας 
ταχυδρομικού της σχολής και των υποστηριζόμενων 
μονάδων της φρρουράς και έχει αρμοδιότητες που αναφέρονται στις επόμενες παραγράφους."	RespA
1512	13.0	"3. Ευθύνεται για την οργάνωση και εύρυθμο λειτουργία του ΣΤΓ, καθώς και για την τεχνική οργάνωση χειρισμού των ταχυδρομικών ανταποκρίσεων επιστολικού 
ταχυδρομείου, επισήμων εγγράφων, ταχυδρομικών δεμάτων και ταχυδρομικών επιταγών."	RespA
1513	13.0	"4. Ρυθμίζει τον τρόπο διαχείρισης των χρημάτων από 
τις επιταγές, σύμφωνα με τις ισχύουσες διατάξεις."	RespA
1514	13.0	"5. Παρακολουθεί και ελέγχει το ρεύμα των ταχυδρομικών ανταποκρίσεων με σκοπό την εξασφάλιση ταχύτητας, ασφάλειας και κανονικής διαβίβασης αυτών 
και εισηγείται αρμοδίως κάθε μέτρο για την ασφάλεια 
των παραπάνω."	RespA
1515	13.0	"6. Επικοινωνεί με το ευρισκόμενο στην έδρα της 
σχολής πολιτικό ταχυδρομείο και κάθε άλλη αρμόδια 
δημόσια αρχή για τη διευκόλυνση του έργου του ταχυδρομείου."	RespA
1516	13.0	"Διαχειριστής Επιταγών
7. Καθήκοντα διαχειριστή επιταγών ανατίθενται από 
το διευθυντή του στρατιωτικού ταχυδρομείου στους 
άριστους και με καλή διαγωγή οπλίτες ταχυδρομικού με 
ειδικότητα διαχειριστή επιταγών. Σε περίπτωση που δεν 
υπάρχει οπλίτης με την παραπάνω ειδικότητα, προτείνεται οπλίτης με άλλη ειδικότητα, που κρίνεται κατάλληλος για αυτά τα καθήκοντα, εφ΄ όσον έχει προηγηθεί 
η εκπαίδευσή του στις επιταγές."	Irrelevant
1517	13.0	"8. Ο διαχειριστής επιταγών είναι υπόλογος και θεωρείται υπάλληλος κατά τον ερμηνευτικό κανόνα του 
άρθρου 13 του ποινικού κώδικα."	Org
1518	13.0	9. Λαμβάνει όλα τα μέτρα για την ασφάλεια των χρημάτων και των διαχειριστικών βιβλίων.	Org
1519	13.0	"10. Καταχωρεί καθημερινώς όλες τις διαχειριστικές 
πράξεις στα τηρούμενα βιβλία με τάξη και επιμέλεια."	Org
1520	13.0	"11. Καταμετρά ενώπιον των επιθεωρητών (αξιωματικών 
ταχυδρομικού και ελεγκτικού) το χρηματικό υπόλοιπο 
της διαχείρισής του και θέτει υπόψη αυτών όλα τα 
απαραίτητα στοιχεία, υπογράφοντας τα σχετικά πρωτόκολλα εξελέγξεως."	Org
1521	13.0	"12. Γενικά για κάθε ατασθαλία ελέγχεται ο υπόλογος 
διαχειριστής επιταγών ποινικά και πειθαρχικά."	Org
1522	13.0	"Ταξινόμος
13. Καθήκοντα ταξινόμου ανατίθενται σε οπλίτη του 
ταχυδρομικού σώματος αντιστοίχου ειδικότητας."	Irrelevant
1523	13.0	"14. Ταξινομεί όλη την εισερχόμενη αλληλογραφία, 
δέματα και συνθέτει τις προβλεπόμενες ταχυδρομικές 
επιστολές."	Org
1524	13.0	"15. Εκτελεί γενικά τα καθήκοντά του, σύμφωνα με τις 
οδηγίες του διευθυντή του στρατιωτικού ταχυδρομείου."	Org
1525	14.0	"Διευθυντής
1. Καθήκοντα διευθυντή σπουδών, ανατίθενται σε 
ανώτερο αξιωματικό βαθμού Αντισυνταγματάρχου οιουδήποτε όπλου, απόφοιτο της Ανώτατης Διακλαδικής 
Σχολής Πολέμου (ΑΔΙΣΠΟ −ΑΣΠ)."	Org
1526	14.0	"2. Είναι ο άμεσος και κύριος σύμβουλος της διοίκησης 
της σχολής για το σύνολο των θεμάτων σπουδών, των 
προβλεπόμενων εξετάσεων και των συναφών με αυτά 
θεμάτων. Είναι υπεύθυνος για την οργάνωση και τη 
διεξαγωγή της εκπαίδευσης στη σχολή."	RespA
1527	14.0	3. Για το σκοπό αυτό είναι αρμόδιος για:	RespA
1528	14.0	"α. Εκτίμηση της καταστάσεως και ανάλυση όλων των 
παραγόντων που επηρεάζουν την εκπαίδευση."	Org
1529	14.0	"β. Σχεδιασμό της εκπαίδευσης και σύνταξη όλων των 
προγραμμάτων."	Org
1530	14.0	"γ. Εκτέλεση της εκπαίδευσης δια του συνόλου των 
καθηγητών και των ταγμάτων σπουδαστών."	Org
1531	14.0	"δ. Έλεγχο της επίδοσης και της απόδοσης τόσο των 
σπουδαστών όσο και των καθηγητών – εκπαιδευτών, 
καθώς και της αξιολόγησης των μεθόδων διδασκαλίας, 
με σκοπό την ανανέωση και βελτίωση του εκπαιδευτικού 
συστήματος με συμπεράσματα για λήψη διορθωτικών 
μέτρων."	Org
1532	14.0	"4. Συντονίζει την οργάνωση, διεξαγωγή και επίβλεψη 
της εκπαίδευσης από τα αρμόδια τμήματα."	RespA
1533	14.0	"5. Εισηγείται την έκδοση των απαραίτητων διαταγών 
που αφορούν στην εκπαίδευση και επιβλέπει την εκτέλεση αυτών."	RespA
1534	14.0	"6. Παρακολουθεί και επιβλέπει την υλοποίηση όλων 
των ενεργειών κατά τη διεξαγωγή των προκαταρκτικών 
εξετάσεων των υποψηφίων της σχολής."	RespA
1535	14.0	"7. Εισηγείται και συντονίζει τη σύνταξη των πάσης 
φύσεως μελετών, που αφορούν στη βελτίωση της εκπαίδευσης των σπουδαστών."	RespA
1536	14.0	"8. Ενεργεί συχνές επιθεωρήσεις στις εκπαιδευτικές και 
αθλητικές εγκαταστάσεις της σχολής, βεβαιώνεται αν 
ανταποκρίνονται στον προορισμό τους και εισηγείται 
τον εμπλουτισμό και τη βελτίωσή τους."	RespA
1537	14.0	"9. Αιτείται δια των αρμοδίων οργάνων του την απαιτούμενη υποστήριξη σε μέσα, υλικά και προσωπικό, επί 
θεμάτων εκπαίδευσης."	RespA
1538	14.0	10. Επιβλέπει:	RespA
1539	14.0	"α. Την κανονική τήρηση και ενημέρωση των καθοριζομένων βιβλίων, φακέλων και πινάκων που τηρούν τα 
υπ’ αυτόν τμήματα της διευθύνσεως σπουδών."	Org
1540	14.0	β. Το σχεδιασμό και τη σύνταξη των ετησίων και εβδομαδιαίων προγραμμάτων εκπαίδευσης.	Org
1541	14.0	"γ. Την έκδοση των συγκεντρωτικών βαθμολογιών κάθε 
εξαμήνου και των τελικών βαθμολογιών κάθε έτους."	Org
1542	14.0	"δ. Την προπαρασκευή, οργάνωση και διεξαγωγή των 
τελικών γραπτών εξετάσεων."	Org
1543	14.0	ε. Τη σύνταξη των ενημερωτικών φυλλαδίων της σχολής σε θέματα αρμοδιότητας της διεύθυνσης σπουδών.	Org
1544	14.0	στ. Τη σύνταξη, αξιολόγηση και αναθεώρηση των εκπαιδευτικών φυλλαδίων της σχολής.	Org
1545	14.0	"11. Παρακολουθεί την εκπαίδευση στις αίθουσες και 
στα πεδία ασκήσεων, για να σχηματίσει προσωπική 
αντίληψη επί της προόδου των σπουδαστών και της 
ικανότητας του εκπαιδευτικού προσωπικού."	Org
1546	14.0	"12. Λαμβάνοντας υπ’ όψη την ανάλυση των αποτελεσμάτων των ελέγχων και τους απολογισμούς της εκπαίδευσης, επανεκτιμά την κατάσταση και τροφοδοτεί 
το σύστημα εκπαίδευσης με διορθωτικά μέτρα για τη 
βελτίωσή της."	Org
1547	14.0	"13. Είναι πρόεδρος του σπουδαστικού συμβουλίου και 
μέλος του ανακριτικού συμβουλίου της Σχολής."	Org
1548	14.0	"14. Το διευθυντή σπουδών, κατά την απουσία του, αναπληρώνει ο αρχαιότερος αξκός από τους υπηρετούντες 
στη διεύθυνση σπουδών."	Org
1549	15.0	"Τμήματα Διεύθυνσης Σπουδών
1. Για τον καλύτερο συντονισμό και την εύρυθμη λειτουργία της όλης εκπαιδευτικής διαδικασίας, η διεύθυνση σπουδών περιλαμβάνει τα παρακάτω τμήματα:"	Org
1550	15.0	α. Ακαδημαϊκής Εκπαίδευσης.	Org
1551	15.0	β. Στρατιωτικής Εκπαίδευσης.	Org
1552	15.0	γ. Τεχνικής Εκπαίδευσης.	Org
1553	15.0	δ. Προγραμματισμού – Ελέγχου Εκπαιδεύσεως (ΤΠΕΕ).	Org
1554	15.0	ε. Εισαγωγικών Εξετάσεων – Μελετών.	Org
1555	15.0	στ. Υλικού Σπουδών (ΤΥΣ).	Org
1556	15.0	"2. Οι επικεφαλής των παραπάνω τμημάτων τοποθετούνται με διαταγή της σχολής, σύμφωνα με τον πίνακα 
οργάνωσης και υλικού (ΠΟΥ) αυτής και είναι αποκλειστικά υπεύθυνοι έναντι του διευθυντού σπουδών και 
της σχολής για:"	Org
1557	15.0	"α. Τη σύνταξη, αναθεώρηση και βελτίωση όλων των 
συγγραμμάτων εκπαίδευσης της σχολής για κάθε μάθημα της αρμοδιότητάς τους, σε συνεργασία με τους 
αντίστοιχους εκπαιδευτές καθηγητές των μαθημάτων 
και του φύλλου διδασκαλίας μαθήματος το οποίο περιλαμβάνει:"	Org
1558	15.0	(1) Τον ειδικό αντικειμενικό σκοπό (ΑΝΣΚ).	Irrelevant
1559	15.0	"(2) Τη διδακτέα ύλη και τα αντικείμενα ανά μάθημα 
και εξάμηνο."	Irrelevant
