"idx"	"ArticleNo"	"RawParagraph"	"Prediction"
30	4.0	"ζ. Η διενέργεια και πραγματοποίηση ερευνών, μελετών 
και εκδόσεων, σχετικών με την ανάπτυξη του ανθρώπινου δυναμικού της δημόσιας διοίκησης και αυτοδιοίκησης σε συνεργασία με τις εκπαιδευτικές μονάδες 
του Ε.Κ.Δ.Δ.Α."	Org
31	4.0	"η. Η ανάθεση, ύστερα από έγκριση των αρμοδίων οργάνων, των ανωτέρω δραστηριοτήτων σε άλλους φορείς, δημόσιους ή ιδιωτικούς, εσωτερικού ή εξωτερικού, 
αυτοτελώς ή σε συνεργασία με αυτούς."	Org
32	4.0	"θ. Η ανάληψη, αυτοτελώς ή σε συνεργασία με άλλους 
φορείς, της διενέργειας των παραπάνω μελετών και 
εκδόσεων, κατόπιν εντολής τρίτων και έναντι αμοιβής."	Org
33	4.0	"ι. Η ανάπτυξη, σε συνεργασία με τις εκπαιδευτικές 
μονάδες του Ε.Κ.Δ.Δ.Α., συστήματος συγκέντρωσης, 
επεξεργασίας και ανάλυσης στατιστικών στοιχείων και 
πληροφοριών, σχετικά με την παροχή των υπηρεσιών 
επαγγελματικής κατάρτισης, εκπαίδευσης και επιμόρφωσης του ανθρώπινου δυναμικού της δημόσιας διοίκησης και η έκδοση ετήσιων και πενταετών, αναλυτικών 
εκθέσεων πεπραγμένων."	Org
34	4.0	"ια. Η ευθύνη αποστολής υλικού αρμοδιότητας της 
Διεύθυνσης προς το Αυτοτελές Τμήμα Επικοινωνίας, 
Διεθνών και Δημοσίων Σχέσεων, ύστερα από σχετική 
έγκριση του Προϊσταμένου της Διεύθυνσης, προκειμένου 
να καταχωρηθεί στο δικτυακό τόπο του ΕΚΔΔΑ., καθώς 
επίσης η τυχόν αξιοποίησή του στις έντυπες εκδόσεις 
του Κέντρου και την εν γένει δημοσιοποίησή του."	Org
35	4.0	"3. Αρμοδιότητες του Τμήματος Εφαρμογών Πληροφορικής και Τεχνικής Υποστήριξης
Στις αρμοδιότητες του Τμήματος αυτού ανήκουν:"	Org
36	4.0	"α. Η σύνταξη προδιαγραφών εξοπλισμού Πληροφορικής για τις ανάγκες των οργανικών μονάδων καθώς 
και η σύνταξη σχεδίων συμβάσεων προμηθειών και 
συντήρησης του εν λόγω εξοπλισμού, σε συνεργασία 
με το Τμήμα Προμηθειών και τη Νομική Υπηρεσία του 
Κέντρου."	Org
37	4.0	"β. Η σύνταξη των προδιαγραφών για την ανάπτυξη 
και παραγωγή εκπαιδευτικού λογισμικού για τις ανάγκες των εκπαιδευτικών μονάδων Ε.Σ.Δ.Δ., Ε.Σ.Τ.Α. και 
Ι.Ν.Ε.Π."	Org
38	4.0	"γ. Η συντήρηση των πάσης φύσεως Πληροφοριακών 
Συστημάτων που διαθέτει και χρησιμοποιεί το Ε.Κ.Δ.Δ.Α., 
η μέριμνα για την απρόσκοπτη λειτουργία τους καθώς 
και η υποστήριξη από πλευράς ανάλυσης απαιτήσεων, 
σχεδιασμού, τροποποιήσεων και επεκτάσεών τους ή 
ανάπτυξης – εγκατάστασης νέων Πληροφοριακών Συστημάτων για την ικανοποίηση των λειτουργικών αναγκών των οργανικών μονάδων του Ε.Κ.Δ.Δ.Α."	Org
39	4.0	"δ. Η ευθύνη διαχείρισης θεμάτων τεχνικής υποστήριξης του λογισμικού που αφορά το δικτυακό τόπο του 
Ε.Κ.Δ.Δ.Α.,"	Org
40	4.0	ε. Η τεχνική υποστήριξη του εξοπλισμού Πληροφορικής.	Org
41	4.0	"στ. Η μέριμνα για την εκπαίδευση του προσωπικού του 
Ε.Κ.Δ.Δ.Α. στη χρήση Πληροφοριακών Συστημάτων, και 
ειδικότερα στη χρήση του Ολοκληρωμένου Πληροφοριακού Συστήματος."	Org
42	4.0	"ζ. Η μελέτη των αναγκών των οργανικών μονάδων του 
Ε.Κ.Δ.Δ.Α., με σκοπό την υποστήριξη και την αυτοματοποίηση των διαδικασιών λειτουργίας τους με εργαλεία 
Πληροφορικής."	Org
43	4.0	"η. Η εξαγωγή πληροφοριακών δεδομένων από το 
Ο.Π.Σ. με τη μορφή εκθέσεων και η στατιστική επεξεργασία τους, με σκοπό την πληροφόρηση των οργανικών 
μονάδων και της Διοίκησης του Ε.Κ.Δ.Δ.Α."	Org
44	4.0	"4. Αρμοδιότητες του Τμήματος Τεκμηρίωσης και
Βιβλιοθήκης."	Org
45	4.0	"Το Τμήμα Τεκμηρίωσης και Βιβλιοθήκης έχει τη ευθύνη υποστήριξης του έργου των εκπαιδευτικών μονάδων του Ε.Κ.Δ.Δ.Α. και την προσφορά υπηρεσιών προς 
τους σπουδαστές των Σχολών του Ε.Κ.Δ.Δ.Α., προς το 
προσωπικό του Κέντρου και προς το ευρύτερο κοινό."	RespA
46	4.0	Ειδικότερα, έχει τις ακόλουθες αρμοδιότητες:	RespA
47	4.0	"α. Το συνεχή εμπλουτισμό της βιβλιοθήκης του 
Ε.Κ.Δ.Δ.Α., κατόπιν σχετικών εγκριτικών αποφάσεων των 
αρμοδίων οργάνων, με βιβλία και περιοδικά σε έντυπη 
και ηλεκτρονική μορφήκαθώς και με κάθε άλλης μορφής εκπαιδευτικό – ερευνητικό υλικό (CD ROMs, DVD 
ROMs κ"	Org
48	4.0	λπ), στα αντικείμενα επιστημονικού ενδιαφέροντος του Ε.Κ.Δ.Δ.Α., καθώς και συναφών με το πρόγραμμα σπουδών των εκπαιδευτικών του μονάδων.	Irrelevant
49	4.0	β. Την εξυπηρέτηση των ενδιαφερομένων για την Δημόσια Διοίκηση φορέων και ερευνητών.	Org
50	4.0	"γ. Τη συλλογή, καταγραφή, αρχειοθέτηση, συντήρηση 
και διαχείριση του υλικού της βιβλιοθήκης κατά θεματικές ενότητες και την αντίστοιχη οργάνωση του 
ηλεκτρονικού της αρχείου."	Org
51	4.0	"δ. Tην επιμέλεια συγκέντρωσης, καταγραφής και αρχειοθέτησης του εκπαιδευτικού υλικού που παράγεται 
για τις ανάγκες υλοποίησης των προγραμμάτων του 
Ε.Κ.Δ.Δ.Α., καθώς και των τελικών εργασιών των σπουδαστών της Εθνικής Σχολής Δημόσιας Διοίκησης και 
της Εθνικής Σχολής Τοπικής Αυτοδιοίκησης."	Org
52	4.0	"ε. Τη συνεργασία με βιβλιοθήκες, κέντρα ερευνών, 
μελετών και τεκμηρίωσης εσωτερικού και εξωτερικού, 
καθώς και με άλλους οργανισμούς, ιδρύματα και λοιπούς 
φορείς που ασχολούνται με τη συλλογή, ταξινόμηση και 
τήρηση στοιχείων που ενδιαφέρουν το Ε.Κ.Δ.Δ.Α."	Org
53	4.0	"στ. Την προσφορά υπηρεσιών για κάλυψη αναγκών 
χρήσης της Βιβλιοθήκης από Άτομα με Αναπηρία 
(ΑμΕΑ), σε συνεργασία με το αντίστοιχο γραφείο του 
Ε.Κ.Δ.Δ.Α."	Org
54	4.0	"ζ. Τη μέριμνα για τη σύνδεση της Βιβλιοθήκης με 
εθνικά (πχ Εθνικό Κέντρο Τεκμηρίωσης κ"	Org
55	4.0	"λπ) και διεθνή 
κέντρα πληροφόρησης."	Irrelevant
56	4.0	η. Τη διαμόρφωση προτάσεων για εφαρμογές καινοτομίας στις υπηρεσίες και λειτουργίες της Βιβλιοθήκης.	RespA
57	4.0	"θ. Τη μέριμνα για τη συντήρηση, πρόληψη φθοράς 
και αποκατάσταση φθαρμένου υλικού καθώς και για τη 
βιβλιοδεσία παντός εντύπου που χρήζει της εν λόγω 
επεξεργασίας (βιβλία, περιοδικά κ.ά)."	RespA
58	4.0	"ι. Τη μέριμνα για την ορθή λειτουργία του χώρου της 
βιβλιοθήκης."	RespA
59	4.0	"ια. Την εκπόνηση Κανονισμού Λειτουργίας της Βιβλιοθήκης στον οποίο, μεταξύ των άλλων, θα προβλέπεται 
το σύστημα δανεισμού και των προϋποθέσεων παροχής 
υπηρεσιών εξυπηρέτησης των χρηστών της Βιβλιοθήκης."	RespA
60	4.0	"5. Αρμοδιότητες του Τμήματος Συγχρηματοδοτούμενων Προγραμμάτων.Στην αρμοδιότητα του Τμήματος 
Συγχρηματοδοτούμενων Προγραμμάτων υπάγεται η 
ευθύνη εκπλήρωσης των υποχρεώσεων του Ε.Κ.Δ.Δ.Α."	Org
61	4.0	"προς τις Διαχειριστικές Αρχές, ως «τελικού δικαιούχου» 
πράξεων που εντάσσονται σε Επιχειρησιακά Συγχρηματοδοτούμενα Προγράμματα από Ευρωπαϊκά ή άλλα 
διεθνή Ταμεία."	Irrelevant
62	4.0	"Ειδικότερα, στις αρμοδιότητες του εν λόγω Τμήματος 
περιλαμβάνονται:"	Irrelevant
63	4.0	"α. Η σύνταξη και η εισήγηση προς το Γενικό Γραμματέα του Ε.Κ.Δ.Δ.Α. μέσω της Δ/νσης Προγραμματισμού 
και Ανάπτυξης του «Συστήματος Διαχείρισης Έργου», 
και «Οδηγού σύνταξης Πρότασης Υποβολής Έργου» για 
τις ανάγκες υλοποίησης δράσεων που αναλαμβάνει το 
Ε.Κ.Δ.Δ.Α."	Org
64	4.0	"β. Η ευθύνη διαχείρισης θεμάτων που σχετίζονται με 
τη συμμετοχή του Ε.Κ.Δ.Δ.Α. σε δράσεις διεθνούς χαρακτήρα χρηματοδούμενες από ειδικές πηγές (όπως 
«Λοιπές Κοινοτικές Πρωτοβουλίες» κ"	Org
65	4.0	λπ)	Irrelevant
66	4.0	"γ. Η παραλαβή προτάσεων υποβολής έργων από τις 
οργανικές μονάδες του Ε.Κ.Δ.Δ.Α. και η σύνταξη με βάση 
αυτές τεχνικών δελτίων έργων για την κάλυψη των 
αναγκών του Ε.Κ.Δ.Δ.Α."	Org
67	4.0	δ. Η πρόταση προς έγκριση από το ΔΣ του Ε.Κ.Δ.Δ.Α.	Org
68	4.0	"Μηχανισμού Διοίκησης, Παρακολούθησης – Παραλαβής» 
και «Συστήματος Διαχείρισης και Εσωτερικού Ελέγχου 
των Συγχρηματοδούμενων Πράξεων», για την επαλήθευση των παραδοτέων και των αντίστοιχων δαπανών 
που πραγματοποιούνται στο πλαίσιο της εκτέλεσης 
των Πράξεων,"	RespA
69	4.0	"ε. Η ευθύνη προσδιορισμού επιλέξιμων προς συγχρηματοδότηση δαπανών, η συσχέτιση αναγκών των 
οργανικών μονάδων του Ε.Κ.Δ.Δ.Α. με επιλέξιμες δαπάνες, ο έλεγχος των επιλέξιμων δαπανών των Πράξεων, 
όπως αυτές προβλέπονται από το ανωτέρω Σύστημα 
Διαχείρισης και Εσωτερικού Ελέγχου των Πράξεων 
και ειδικότερα ο έλεγχος, μέσω του Ολοκληρωμένου 
Πληροφοριακού Συστήματος του ΕΚΔΔΑ, της συσχέτισης των επιλέξιμων άμεσων και εμμέσων δαπανών των 
Πράξεων που έχουν καταχωρηθεί από τα Τμήματα της 
Διεύθυνσης Οικονομικού,"	Org
70	4.0	"στ. Ο έλεγχος της τήρησης των διαδικασιών που 
προβλέπονται στο ισχύον εθνικό και κοινοτικό θεσμικό 
πλαίσιο για την υλοποίηση των Πράξεων."	Org
71	4.0	"ζ. Η έκδοση και αποστολή προς τις Διαχειριστικές 
Αρχές των Μηνιαίων Δελτίων Δαπανών και των Τριμηνιαίων Δελτίων Παρακολούθησης Έργου και Υποέργων 
των υλοποιούμενων Πράξεων, βάσει των στοιχείων που 
παρέχονται από τις οργανικές μονάδες του Ε.Κ.Δ.Δ.Α., οι 
οποίες είναι υπεύθυνες για την υλοποίηση του φυσικού 
αντικειμένου των Πράξεων,"	Org
72	4.0	"η. Η τήρηση αντιγράφων του οικονομικού φακέλου του 
έργου και των υποέργων των υλοποιούμενων Πράξεων, 
με αντίγραφα των παραστατικών και δικαιολογητικών 
στοιχείων δαπανών ανά υποέργο,"	Org
73	4.0	"θ. Η συνδρομή και διευκόλυνση των αρμοδίων οργάνων κοινοτικών και εθνικών ελέγχων των υλοποιούμενων 
Πράξεων με την παροχή στοιχείων οικονομικού αντικειμένου των Πράξεων."	Org
74	5.0	"Διεύθυνση Διοικητικού
1. Στην Διεύθυνση Διοικητικού ανήκουν οι αρμοδιότητες των Τμημάτων που τη συγκροτούν και τα οποία 
είναι:"	Org
75	5.0	α. Τμήμα Διοίκησης Προσωπικού.	Org
76	5.0	β. Τμήμα Διοικητικής Μέριμνας.	Org
77	5.0	γ Το Γραφείο Πρωτοκόλλου.	Irrelevant
78	5.0	"δ. Το Αυτοτελές Γραφείο Προσβασιμότητας Ατόμων 
με αναπηρίες."	Org
79	5.0	"κού.
2. Αρμοδιότητες του Τμήματος Διοίκησης ΠροσωπιΣτην αρμοδιότητα του Τμήματος Διοίκησης Προσωπικού υπάγεται η εφαρμογή της κείμενης νομοθεσίας, 
η οποία άπτεται θεμάτων υπηρεσιακής κατάστασης 
του διοικητικού και επιστημονικού προσωπικού, όπως 
αναλυτικά περιγράφεται στο Κεφάλαιο Γ."	RespA
80	5.0	"Ειδικότερα, στις αρμοδιότητες του εν λόγω Τμήματος 
ανήκουν:"	RespA
81	5.0	"α. Η έκδοση των αναγκαίων διοικητικών πράξεων 
σχετικά με διορισμούς, προσλήψεις, μετατάξεις, αποσπάσεις, τοποθετήσεις, μετακινήσεις, αναθέσεις καθηκόντων, παραιτήσεις, συνταξιοδοτήσεις, αξιολογήσεις, 
χορηγήσεις πάσης φύσεως αδειών του προσωπικού."	RespA
82	5.0	"β. Η έκδοση των πάσης φύσεως πιστοποιητικών του 
προσωπικού."	RespA
83	5.0	"γ. Η έκδοση των αναγκαίων διοικητικών πράξεων σχετικά με μονιμοποιήσεις, προαγωγές, χορηγήσεις μισθολογικών κλιμακίων και επιδομάτων που προβλέπονται 
από την κείμενη νομοθεσία."	RespA
84	5.0	δ. Η τήρηση του μητρώου του προσωπικού.	RespA
85	5.0	"ε. Η εφαρμογή πειθαρχικών διατάξεων και αποφάσεων 
αρμοδίων οργάνων."	RespA
86	5.0	"στ. Η εποπτεία της προσέλευσης και αποχώρησης του 
προσωπικού, εκτός των περιπτώσεων για τις οποίες αρμόδια όργανα του Ε.Κ.Δ.Δ.Α. αποφασίζουν διαφορετικά."	RespA
87	5.0	"ζ. Η σύνταξη εκθέσεων ουσιαστικών προσόντων των 
η. Η παραπομπή προσωπικού στις υγειονομικές επιυπαλλήλων."	RespA
88	5.0	"τροπές.
α. Η ευθύνη της τήρησης του Πρωτοκόλλου της εισερχόμενης και εξερχόμενης αλληλογραφίας του 
Ε.Κ.Δ.Δ.Α."	RespA
89	5.0	β. Η ευθύνη χρέωσης στις Διευθύνσεις και στα Τμήματα του Ε.Κ.Δ.Δ.Α. της εισερχόμενης αλληλογραφίας.	Org
90	5.0	"γ. Η υπογραφή και θεώρηση πιστών αντιγράφων και 
φωτοαντιγράφων."	Org
91	5.0	"δ. Η διακίνηση και διεκπεραίωση της εξωτερικής και 
εσωτερικής αλληλογραφίας του Ε.Κ.Δ.Δ.Α. με βάση και 
τις αρχές της ηλεκτρονικής διοίκησης. Για το σκοπό 
αυτό, και ειδικότερα για τη διακίνηση της έντυπης αλληλογραφίας εντός των υπηρεσιών του Ε.Κ.Δ.Δ.Α. και προς 
τρίτους, το Τμήμα Διοικητικής Μέριμνας έχει την ευθύνη 
υποστήριξης του Γραφείου διαθέτοντας το απαραίτητο 
ανθρώπινο δυναμικό."	Org
92	5.0	"ε. Η ευθύνη διαχείρισης των γραμματοσήμων ή των 
προπληρωμένων τελών για τις ανάγκες έντυπης αλληλογραφίας."	Org
93	5.0	"5. Αρμοδιότητες του Αυτοτελούς Γραφείου Προσβασιμότητας Ατόμων με Αναπηρίες
Οι αρμοδιότητες του Αυτοτελούς Γραφείου Προσβασιμότητας Ατόμων με Αναπηρίες είναι οι εξής:"	Org
94	5.0	"α. Η προώθηση και παρακολούθηση πάσης φύσεως 
ενεργειών, για την άμεση συμμόρφωση προς την υποχρέωση που έχει το Ε.Κ.Δ.Δ.Α. να λαμβάνει όλα τα αναγκαία μέτρα για την εξασφάλιση προσβασιμότητας και 
των λοιπών διευκολύνσεων για τα άτομα με αναπηρίες 
στους χώρους λειτουργίας του."	Org
95	5.0	"β. Η μελέτη και εισήγηση για τη λήψη των αναγκαίων 
μέτρων για την εξασφάλιση της προσβασιμότητας και 
των λοιπών διευκολύνσεων των ΑμεΑ, όπως της εύκολης 
προσέγγισης (χώροι στάθμευσης, πεζοδρόμ"	Org
96	5.0	"ια), εισόδου 
και κίνησης εντός των κτιρίων που λειτουργούν υπηρεσίες του Ε.Κ.Δ.Δ.Α. (θύρες, διάδρομοι, ανελκυστήρ"	Irrelevant
97	5.0	"ες) 
δημιουργίας των απαραίτητων προϋποθέσεων για την 
ανεμπόδιστη πληροφόρηση και εξυπηρέτηση από τους 
αρμόδιους υπαλλήλους, με συμβατικές και σύγχρονες 
μεθόδους (κατάλληλες θυρίδες συναλλαγής, εξυπηρέτηση από ένα σημείο, πρόσβαση σε εφαρμογές ηλεκτρονικής διοίκησης για πληροφόρηση και εξυπηρέτη"	Irrelevant
98	5.0	"ση) 
και για την διευκόλυνσή τους στη χρήση των ψυκτών 
νερού, των τηλεφώνων για το κοινό και διαμόρφωση 
χώρων υγιεινής."	Irrelevant
99	5.0	"γ. Η προώθηση, κατεύθυνση και συντονισμός των ενεργειών, καθώς και η παρακολούθηση και ο έλεγχος των 
εκτελούμενων έργων, για την εφαρμογή των πιο πάνω 
μέτρων και την άμεση συμμόρφωση προς τις υφιστάμενες υποχρεώσεις του Ε.Κ.Δ.Δ.Α. που προβλέπονται 
από σχετικές διατάξεις."	Org
100	5.0	"δ. Η καταγραφή των υφιστάμενων προβλημάτων προσβασιμότητας και λοιπών διευκολύνσεων για τα ΑμεΑ 
(υπαλλήλους και εξυπηρετούμενους πολίτ"	Org
101	5.0	"ες) στους 
χώρους που αναπτύσσουν τη δραστηριότητά τους οι 
υπηρεσίες του Ε.Κ.Δ.Δ.Α."	Irrelevant
102	5.0	"ε. Η μέριμνα για τη σύνταξη τεχνικών προδιαγραφών 
(όπως για τη διαμόρφωση κτιρίων και την προμήθεια 
εξοπλισμού), τεχνικών δελτίων έργου, αρχιτεκτονικών 
και λοιπών μελετών, επιχειρησιακών προγραμμάτων 
δράσης και προϋπολογισμού δαπάνης, για την εκτέλεση 
των αναγκαίων έργων προσβασιμότητας και λοιπών διευκολύνσεων των ατόμων με αναπηρίες, στους χώρους 
που αναπτύσσει τη δραστηριότητά του το Ε.Κ.Δ.Δ.Α."	Org
103	5.0	θ. Η γραμματειακή υποστήριξη του Υπηρεσιακού Συμβουλίου του Ε.Κ.Δ.Δ.Α.	Org
104	5.0	υπαλλήλων του Ε.Κ.Δ.Δ.Α.	Irrelevant
105	5.0	"ι. Η έκδοση αποφάσεων για τις μετακινήσεις των 
ια. Η τήρηση αρχείου εισερχομένων – εξερχομένων 
εγγράφων."	RespA
106	5.0	"ιβ. Η ευθύνη αποστολής υλικού αρμοδιότητας της 
Διεύθυνσης προς το Αυτοτελές Τμήμα Επικοινωνίας, 
Διεθνών και Δημοσίων Σχέσεων, ύστερα από σχετική 
έγκριση του Προϊσταμένου της Διεύθυνσης, προκειμένου 
να καταχωρηθεί στο δικτυακό τόπο του ΕΚΔΔΑ., καθώς 
επίσης η τυχόν αξιοποίησή του στις έντυπες εκδόσεις 
του Κέντρου και την εν γένει δημοσιοποίησή του."	RespA
107	5.0	3. Αρμοδιότητες του Τμήματος Διοικητικής Μέριμνας.	Org
108	5.0	"Στην αρμοδιότητα του Τμήματος Διοικητικής Μέριμνας ανήκει η παροχή συνδρομής στις υπηρεσίες του 
Ε.Κ.Δ.Δ.Α. και ειδικότερα:"	RespA
109	5.0	"α. Η παραγωγή φωτοαντιγράφων για τις διοικητικές 
και εκπαιδευτικές ανάγκες του Κέντρου καθώς και η 
διεκπεραίωση εντολών φωτοαντιγραφής προς τρίτους 
«αναδόχους» υπηρεσιών φωτοαντιγραφής, εφόσον 
υπάρχουν."	Org
110	5.0	"β. Η βιβλιοδέτηση των σημειώσεων για τις ανάγκες 
των εκπαιδευτικών προγραμμάτων."	Org
111	5.0	"γ. Η μέριμνα για τη συντήρηση και επισκευή των φωτοτυπικών μηχανημάτων του Ε.Κ.Δ.Δ.Α. και του λοιπού 
εξοπλισμού του."	Org
112	5.0	"δ. Η αποστολή εποπτικών μέσων και εκπαιδευτικού 
υλικού για τα εκπαιδευτικά προγράμματα που εκτελούνται εκτός των χώρων του κτιρίου του Ε.Κ.Δ.Δ.Α."	Org
113	5.0	"ε. Η διεκπεραίωση εξωτερικών εργασιών του Ε.Κ.Δ.Δ.Α., 
μεταξύ των οποίων περιλαμβάνεται η διακίνηση της 
έντυπης αλληλογραφίας του Κέντρου."	Org
114	5.0	"στ. Η προετοιμασία των αιθουσών στο κτίριο του 
Ε.Κ.Δ.Δ.Α. και η ενημέρωση των αρμοδίων οργάνων για 
τυχόν ελλείψεις εξοπλισμού."	Org
115	5.0	"ζ. Η ευθύνη του ημερήσιου καθαρισμού των χώρων 
του κτιρίου του Ε.Κ.Δ.Δ.Α. για τους οποίους δεν έχει 
ανατεθεί η σχετική εργασία σε τρίτους."	Org
116	5.0	"η. Η φύλαξη του κτιρίου κατά το χρονικό διάστημα 
του 24ώρου για το οποίο δεν έχει ανατεθεί η σχετική 
εργασία σε τρίτους."	Org
117	5.0	"θ. Η τήρηση της κεντρικής κλειδοθήκης του 
ι. Η μέριμνα για τη συντήρηση και τη λειτουργία του 
Ε.Κ.Δ.Δ.Α."	Org
118	5.0	"κτιρίου.
4. Αρμοδιότητες του Γραφείου Πρωτοκόλλου
Στην αρμοδιότητα του Γραφείου Πρωτοκόλλου ανήκει 
η διαχείριση εισερχόμενης και εξερχόμενης αλληλογραφίας του Ε.Κ.Δ.Δ.Α. και ειδικότερα:"	RespA
119	5.0	"στ. Ο σχεδιασμός των κατάλληλων πολιτικών για την 
αξιοποίηση του ανθρώπινου δυναμικού με αναπηρίες 
που υπηρετεί στο Ε.Κ.Δ.Δ.Α."	Org
120	5.0	"ζ. Η ενημέρωση και ευαισθητοποίηση του προσωπικού 
του Ε.Κ.Δ.Δ.Α. στην κατανόηση των αναγκών και δικαιωμάτων των ατόμων με αναπηρίες."	Org
